statistic,real,simulated,wasserstein,total_variation
mean inter-arrival (ms),31.296147506143594,23.13581817959672,1.560234889561431,0.6404727160913505
median inter-arrival (ms),0.21739899966632947,15.475568081456004,,
mean queue at Q1 (AES),6.460530044984274,53.357793003895516,46.89759139411866,0.9419393075181733
median queue at Q1 (AES),5.0,58.0,,
mean spread (ticks),1.1310798973883356,1.0056969409345278,0.12538295645380804,0.12025861303775864
median spread (ticks),1.0,1.0,,
1s mid move sd (ticks),0.5199545204452404,0.06979803472342777,0.1981283296860885,0.1738110493435507
