session,statistic,base_l1,hawkes_l1,base_wasserstein,hawkes_wasserstein
AAPL_2024-02-01,spread,0.30301666666666666,0.4000388888888889,0.1330892292301185,0.13013181253288902
AAPL_2024-02-01,orderbook_imbalance,0.24178568649131765,0.17196643434392317,,
AAPL_2024-02-01,ask_volume_touch,0.7345166666666666,0.7030000000000002,0.2075671136703859,0.5106932739635734
AAPL_2024-02-01,bid_volume_touch,0.7363166666666666,0.7220833333333333,0.24031020532044917,0.5162326209319963
AAPL_2024-02-01,ask_volume_3,0.23532777777777777,0.3356388888888889,0.14745368344829057,0.5047260814996956
AAPL_2024-02-01,bid_volume_3,0.1689833333333333,0.2445888888888889,0.15548938130978435,0.5006534303922708
AAPL_2024-02-01,limit_ask_order_depth,0.031937394644308996,0.007100233406787134,0.0669661528221389,0.01508859434946381
AAPL_2024-02-01,limit_bid_order_depth,0.03414451180390567,0.08161897731539497,0.07016327125863218,0.17048635942806817
AAPL_2024-02-01,log_inter_arrival_time,0.6664888296098701,0.23065466266533285,0.9576836478274515,0.4204021776900704
