statistic,real,simulated,wasserstein,total_variation
mean inter-arrival (ms),27.11336153367677,7.950809816522048,0.20793824741383116,0.15494650401516552
median inter-arrival (ms),0.12420299754012376,0.10455353782390375,,
mean queue at Q1 (AES),6.828949602762539,26.747217891931342,20.400199717392628,0.49602773712035475
median queue at Q1 (AES),5.0,18.0,,
mean spread (ticks),1.2556759446938868,1.1991898316464453,0.08041361205168684,0.054488300343088776
median spread (ticks),1.0,1.0,,
1s mid move sd (ticks),0.8148498214963454,0.46696037494940484,0.14842514637377685,0.08222573614257019
