statistic,real,simulated,wasserstein,total_variation
mean inter-arrival (ms),34.11627709850803,22.2119323107313,0.8824142275156039,0.4180898092387884
median inter-arrival (ms),0.38897700142115355,11.686719330100459,,
mean queue at Q1 (AES),0.18219236818021883,0.8180162204646677,0.6381098065989099,0.059996650913792936
median queue at Q1 (AES),0.0,0.0,,
mean spread (ticks),4.095207546805449,3.157662574846889,0.9375449719585607,0.18168746594757654
median spread (ticks),4.0,3.0,,
1s mid move sd (ticks),2.5582817278654946,1.4624206725465358,0.621308602931749,0.2962092397110987
