statistic,real,simulated,wasserstein,total_variation
mean inter-arrival (ms),35.6478725684522,19.465502933130416,0.7733718523828529,0.38603594225883026
median inter-arrival (ms),0.3236760021536611,9.026679285852879,,
mean queue at Q1 (AES),0.1252325623817455,0.9366421961110534,0.8117079563230942,0.12086241704389619
median queue at Q1 (AES),0.0,0.0,,
mean spread (ticks),4.3726572071663545,3.1638190703961735,1.2088381367701815,0.2276872568318267
median spread (ticks),4.0,3.0,,
1s mid move sd (ticks),2.931720830423069,1.687288797944632,0.6337877687080644,0.15975041668447365
