statistic,real,simulated,wasserstein,total_variation
mean inter-arrival (ms),19.888989775936015,16.58842922466257,1.7266041276535864,0.7090904863157778
median inter-arrival (ms),0.06076099816709757,11.067533623645431,,
mean queue at Q1 (AES),3.3626261388683494,3.7442167437956537,0.5729376060548401,0.005610188947534167
median queue at Q1 (AES),3.0,3.0,,
mean spread (ticks),1.5963024655280298,1.4735556746517853,0.12274679087624452,0.05475387636802584
median spread (ticks),1.0,1.0,,
1s mid move sd (ticks),1.402706830005095,0.7842152863286739,0.27768626973977606,0.1408854312204883
