statistic,real,simulated,wasserstein,total_variation
mean inter-arrival (ms),40.54165838439735,27.129464780835185,1.7633441902026115,0.6681072259654022
median inter-arrival (ms),0.07529350114054978,15.515178170971922,,
mean queue at Q1 (AES),9.50349816511463,102.90458302899609,94.08802591532712,0.666708852145288
median queue at Q1 (AES),7.0,99.0,,
mean spread (ticks),1.1188523398190966,1.0695941010747452,0.049258238744351424,0.04727526080875275
median spread (ticks),1.0,1.0,,
1s mid move sd (ticks),0.4642888927796603,0.21142266490446449,0.10829522629172199,0.08491815889567932
