session,statistic,base_l1,hawkes_l1,base_wasserstein,hawkes_wasserstein
MSFT_2024-02-01,spread,0.37233333333333335,0.4014444444444444,0.5304279087622678,0.6791352911073291
MSFT_2024-02-01,orderbook_imbalance,0.11185239687591146,0.10757577286873304,,
MSFT_2024-02-01,ask_volume_touch,2.7777777777757745e-05,0.3623333333333333,0.26763761164681904,0.4096079024735836
MSFT_2024-02-01,bid_volume_touch,1.1111111111091996e-05,1.1111111111091996e-05,0.18340311728492875,0.21439103368756496
MSFT_2024-02-01,ask_volume_3,0.7606055555555555,0.7504944444444445,0.1253877669330226,0.18135574000091054
MSFT_2024-02-01,bid_volume_3,0.7411555555555555,0.8225888888888889,0.11878929121683054,0.11147280671879112
MSFT_2024-02-01,limit_ask_order_depth,0.5876564052915211,0.5113335087789431,0.6818625394420569,0.7843130869220724
MSFT_2024-02-01,limit_bid_order_depth,0.48754935384409215,0.3061432604353243,0.07002979317750882,0.12592655100226438
MSFT_2024-02-01,log_inter_arrival_time,0.6459819939979994,0.40341224852728685,0.9324956830904145,0.6112723461609295
MSFT_2024-04-01,spread,0.5138499999999999,0.40964999999999996,0.626478845161012,0.6899060977676326
MSFT_2024-04-01,orderbook_imbalance,0.14671926043449635,0.13119283643383275,,
MSFT_2024-04-01,ask_volume_touch,2.2222222222239503e-05,2.2222222222239503e-05,0.5020316329872457,0.5384790892281015
MSFT_2024-04-01,bid_volume_touch,2.7777777777757745e-05,2.7777777777757745e-05,0.2729868250391697,0.3376490579678859
MSFT_2024-04-01,ask_volume_3,0.8260722222222222,0.8071555555555556,0.17234529393086093,0.16712525599692316
MSFT_2024-04-01,bid_volume_3,0.8508388888888889,0.8103666666666666,0.1659110570525712,0.1705354640038044
MSFT_2024-04-01,limit_ask_order_depth,0.8964953995562046,0.4548936196949022,0.8375310600482236,0.8209493127884252
MSFT_2024-04-01,limit_bid_order_depth,0.7832883372343392,0.28742158652946287,0.010576587061310766,0.18265535928971316
MSFT_2024-04-01,log_inter_arrival_time,0.643025452928754,0.4323663443370012,0.9423313123078273,0.6703259865679975
MSFT_2024-06-03,spread,0.2995055555555555,0.5182888888888889,0.5270591644126909,0.8790517915559637
MSFT_2024-06-03,orderbook_imbalance,0.13498307532188675,0.12311460668493988,,
MSFT_2024-06-03,ask_volume_touch,4.9999999999997244e-05,4.9999999999997244e-05,0.2522543843107849,0.4815528184213333
MSFT_2024-06-03,bid_volume_touch,5.5555555555737535e-06,5.5555555555737535e-06,0.29887570437163363,0.5449214885537994
MSFT_2024-06-03,ask_volume_3,0.6094777777777779,0.5576111111111111,0.19158439320346685,0.2867516652826708
MSFT_2024-06-03,bid_volume_3,0.6123000000000001,0.5618611111111109,0.2673605288245021,0.4763912346508635
MSFT_2024-06-03,limit_ask_order_depth,0.7233460178561522,0.9211848787166121,0.5540129337483208,0.7431589342979844
MSFT_2024-06-03,limit_bid_order_depth,0.619441078336682,0.06798938766902878,0.22276793527343,0.14729249128673644
MSFT_2024-06-03,log_inter_arrival_time,0.6178837390241192,0.4075302878737357,0.9173501859822566,0.6643574001299777
MSFT_2024-10-01,spread,0.2825611111111111,0.4576777777777778,0.49163240560041704,0.7810996561807868
MSFT_2024-10-01,orderbook_imbalance,0.13919076589985252,0.13872627118402014,,
MSFT_2024-10-01,ask_volume_touch,1.1111111111091996e-05,1.1111111111091996e-05,0.2849533803206208,0.49729649017345934
MSFT_2024-10-01,bid_volume_touch,1.666666666666575e-05,1.666666666666575e-05,0.19836621978914698,0.38699162204422793
MSFT_2024-10-01,ask_volume_3,0.5403111111111111,0.5029777777777777,0.10578301788130903,0.1502381789611693
MSFT_2024-10-01,bid_volume_3,0.5475555555555556,0.482,0.10311377182011318,0.10411847525223603
MSFT_2024-10-01,limit_ask_order_depth,0.8067506854844957,0.9209321211137653,0.5756608744818622,0.7826412441369598
MSFT_2024-10-01,limit_bid_order_depth,0.6584258904487317,0.15092050163877493,0.1170989551050098,0.3335852921665217
