statistic,real,simulated,wasserstein,total_variation
mean inter-arrival (ms),34.11627709850803,28.49671242389892,1.3982324786618103,0.6260893538483238
median inter-arrival (ms),0.38897700142115355,18.980139956511266,,
mean queue at Q1 (AES),0.18219236818021883,0.7222607861189456,0.5422729983499943,0.04441632097794683
median queue at Q1 (AES),0.0,0.0,,
mean spread (ticks),4.095207546805449,3.2159476732574395,0.8792598735480102,0.17338154768307482
median spread (ticks),4.0,3.0,,
1s mid move sd (ticks),2.5582817278654946,1.395172568280918,0.617547758451216,0.29159365784862595
