statistic,real,simulated,wasserstein,total_variation
mean inter-arrival (ms),40.54165838439735,11.798459303551688,0.2503643383125519,0.19363655099008473
median inter-arrival (ms),0.07529350114054978,0.13091341133986134,,
mean queue at Q1 (AES),9.50349816511463,274.97268497416434,265.4981562323013,0.8185037010537574
median queue at Q1 (AES),7.0,203.0,,
mean spread (ticks),1.1188523398190966,1.0608555218967943,0.05799681792230216,0.056027993968988506
median spread (ticks),1.0,1.0,,
1s mid move sd (ticks),0.4642888927796603,0.178535315412088,0.12197102440275233,0.09906406256677637
