statistic,real,simulated,wasserstein,total_variation
mean inter-arrival (ms),27.11336153367677,19.93290166244277,1.5331745436771602,0.6282440758808917
median inter-arrival (ms),0.12420299754012376,11.19580114755081,,
mean queue at Q1 (AES),6.828949602762539,10.21432307327985,4.205343919837425,0.22030510967165873
median queue at Q1 (AES),5.0,7.0,,
mean spread (ticks),1.2556759446938868,1.188493770539841,0.06923637443633857,0.04332453888705719
median spread (ticks),1.0,1.0,,
1s mid move sd (ticks),0.8148498214963454,0.42938713059804023,0.16569084148895266,0.07773836488738836
