statistic,real,simulated,wasserstein,total_variation
mean inter-arrival (ms),186.69230337808577,61.11857532254546,0.7832170925980007,0.3583034317100432
median inter-arrival (ms),0.3751584990823176,14.336494652411602,,
mean queue at Q1 (AES),0.051689504652059334,1.0890988254406884,1.0374313236304011,0.20992742236332698
median queue at Q1 (AES),0.0,0.0,,
mean spread (ticks),7.0472354412552685,3.424648768371262,3.6225866728840064,0.504443126615767
median spread (ticks),6.0,4.0,,
1s mid move sd (ticks),2.6465059844290186,1.282751802205634,0.754749233201945,0.23853833698057805
