statistic,real,simulated,wasserstein,total_variation
mean inter-arrival (ms),186.69230337808577,105.35036633387885,1.7864115666088076,0.668535725944563
median inter-arrival (ms),0.3751584990823176,59.139508555745124,,
mean queue at Q1 (AES),0.051689504652059334,0.46622515959985233,0.41455601378207474,0.08655197136157927
median queue at Q1 (AES),0.0,0.0,,
mean spread (ticks),7.0472354412552685,4.057933170657038,2.9893022705982304,0.4483187597605001
median spread (ticks),6.0,4.0,,
1s mid move sd (ticks),2.6465059844290186,1.251766981806298,0.7525270109797226,0.23114517458741568
