session,statistic,base_l1,hawkes_l1,base_wasserstein,hawkes_wasserstein
MSFT_2024-12-02,spread,0.3237666666666666,0.5359777777777778,0.3776735311731554,0.7963072439969809
MSFT_2024-12-02,orderbook_imbalance,0.15855780463929198,0.11575183196721141,,
MSFT_2024-12-02,ask_volume_touch,5.5555555555737535e-06,5.5555555555737535e-06,0.1963473565423591,0.4729901957224539
MSFT_2024-12-02,bid_volume_touch,1.1111111111091996e-05,0.39782777777777784,0.21895851255582185,0.4716335865413959
MSFT_2024-12-02,ask_volume_3,0.6364499999999998,0.6201166666666666,0.1553089205718357,0.14733915582246687
MSFT_2024-12-02,bid_volume_3,0.4290777777777777,0.4304666666666667,0.2159269935259756,0.18756810280846795
MSFT_2024-12-02,limit_ask_order_depth,0.8643811197236186,0.8888410614837144,0.5014127602050308,0.7412980447542165
MSFT_2024-12-02,limit_bid_order_depth,0.7527080134261682,0.13911759211719782,0.04255859215872951,0.29768898535598787
MSFT_2024-12-02,log_inter_arrival_time,0.7002834278092697,0.39112481938423915,1.023811736848473,0.6487754222151747
