session,statistic,base_l1,hawkes_l1,base_wasserstein,hawkes_wasserstein
MSFT_2024-10-01,spread,0.2825611111111111,0.4576777777777778,0.49163240560041704,0.7810996561807868
MSFT_2024-10-01,orderbook_imbalance,0.13919076589985252,0.13872627118402014,,
MSFT_2024-10-01,ask_volume_touch,1.1111111111091996e-05,1.1111111111091996e-05,0.2849533803206208,0.49729649017345934
MSFT_2024-10-01,bid_volume_touch,1.666666666666575e-05,1.666666666666575e-05,0.19836621978914698,0.38699162204422793
MSFT_2024-10-01,ask_volume_3,0.5403111111111111,0.5029777777777777,0.10578301788130903,0.1502381789611693
MSFT_2024-10-01,bid_volume_3,0.5475555555555556,0.482,0.10311377182011318,0.10411847525223603
MSFT_2024-10-01,limit_ask_order_depth,0.8067506854844957,0.9209321211137653,0.5756608744818622,0.7826412441369598
MSFT_2024-10-01,limit_bid_order_depth,0.6584258904487317,0.15092050163877493,0.1170989551050098,0.3335852921665217
MSFT_2024-10-01,log_inter_arrival_time,0.650594642658664,0.4424752695342892,0.9686541394539238,0.6952557314016028
