target,source,alpha,alpha_se,norm,decay_s,decay_se_s
add_ask,add_ask,1679.418035756994,79.41144534327371,0.2050818555777916,0.00012211483455061944,5.211421461611402e-06
add_ask,cancel_ask,427.5588948378493,26.635711172960452,0.15420392645134065,0.00036066125231664774,2.0867439316249495e-05
add_ask,exec_ask,2910.2015601098096,178.40034858999732,0.08231504964864002,2.8284999491765118e-05,5.604909994510984e-07
add_ask,add_bid,151.5786324814433,16.961218924714,0.01809486016627925,0.00011937606158634844,3.671549189173631e-06
add_ask,cancel_bid,293.5728798868413,17.554577500333103,0.14017136337294903,0.0004774670038560053,2.5105196303690982e-05
add_ask,exec_bid,22914.162473268912,651.928543674344,0.7285696068299653,3.179560272734805e-05,6.568993190192765e-07
cancel_ask,add_ask,960.6046027693989,58.89076664167549,0.11730407213574866,0.00012211483455061944,5.211421461611402e-06
cancel_ask,cancel_ask,590.4239714798822,36.79257447964996,0.21294304895170305,0.00036066125231664774,2.0867439316249495e-05
cancel_ask,exec_ask,3175.1480266868075,200.23768094711744,0.08980906032111537,2.8284999491765118e-05,5.604909994510984e-07
cancel_ask,add_bid,930.2159846896008,40.62843624253153,0.11104552067691154,0.00011937606158634844,3.671549189173631e-06
cancel_ask,cancel_bid,71.00795212944719,6.1781004922753,0.0339039541531978,0.0004774670038560053,2.5105196303690982e-05
cancel_ask,exec_bid,7143.264901356934,371.13737599696594,0.22712441297975414,3.179560272734805e-05,6.568993190192765e-07
exec_ask,add_ask,11.299819704807375,4.708653698531354,0.001379875613704382,0.00012211483455061944,5.211421461611402e-06
exec_ask,cancel_ask,40.77436864432957,4.868791424673373,0.014705734857684559,0.00036066125231664774,2.0867439316249495e-05
exec_ask,exec_ask,19908.729367153068,552.194097460413,0.5631184000316138,2.8284999491765118e-05,5.604909994510984e-07
exec_ask,add_bid,189.2286985033435,15.001698540609251,0.022589376766439694,0.00011937606158634844,3.671549189173631e-06
exec_ask,cancel_bid,40.668065020051856,4.079823045875372,0.019417659157745373,0.0004774670038560053,2.5105196303690982e-05
exec_ask,exec_bid,155.94840366515467,46.07808708452295,0.004958473488901366,3.179560272734805e-05,6.568993190192765e-07
add_bid,add_ask,198.8420132591933,19.891533004784662,0.024281559550858468,0.00012211483455061944,5.211421461611402e-06
add_bid,cancel_ask,405.7613118850907,25.662370442032532,0.14634238288612272,0.00036066125231664774,2.0867439316249495e-05
add_bid,exec_ask,21329.866016248547,572.6438559007169,0.6033152494290083,2.8284999491765118e-05,5.604909994510984e-07
add_bid,add_bid,2067.2168058447714,77.28621873838954,0.24677620072685993,0.00011937606158634844,3.671549189173631e-06
add_bid,cancel_bid,253.87020920527115,15.325185182314225,0.12121464815753807,0.0004774670038560053,2.5105196303690982e-05
add_bid,exec_bid,2790.404414492833,193.97688761584178,0.08872259021185236,3.179560272734805e-05,6.568993190192765e-07
cancel_bid,add_ask,936.2200525246767,47.96441687801093,0.11432635681702313,0.00012211483455061944,5.211421461611402e-06
cancel_bid,cancel_ask,107.42936794954899,9.332015238660356,0.03874561038027028,0.00036066125231664774,2.0867439316249495e-05
cancel_bid,exec_ask,4088.296577952474,284.12844955794407,0.11563746662957079,2.8284999491765118e-05,5.604909994510984e-07
cancel_bid,add_bid,1466.3570047069052,61.00742213138341,0.17504792410146494,0.00011937606158634844,3.671549189173631e-06
cancel_bid,cancel_bid,467.81656802253946,26.718198328745316,0.223366975087921,0.0004774670038560053,2.5105196303690982e-05
cancel_bid,exec_bid,3552.1749244305433,232.86593913848523,0.11294354271524114,3.179560272734805e-05,6.568993190192765e-07
exec_bid,add_ask,206.15152213243707,16.54145810431953,0.025174159017560913,0.00012211483455061944,5.211421461611402e-06
exec_bid,cancel_ask,49.62172929952662,5.7567704160058035,0.017896635031284962,0.00036066125231664774,2.0867439316249495e-05
exec_bid,exec_ask,110.79468690549956,40.06779082105824,0.0031338276628123307,2.8284999491765118e-05,5.604909994510984e-07
exec_bid,add_bid,13.928583645832392,5.016539787807024,0.0016627394591154933,0.00011937606158634844,3.671549189173631e-06
exec_bid,cancel_bid,34.5667751709288,3.6509702529734005,0.01650449457382753,0.0004774670038560053,2.5105196303690982e-05
exec_bid,exec_bid,18769.380274541098,564.5455180433228,0.5967837586478316,3.179560272734805e-05,6.568993190192765e-07
