statistic,real,simulated,wasserstein,total_variation
mean inter-arrival (ms),18.82982212018254,16.233068148467634,1.4130252075820664,0.6363778454034544
median inter-arrival (ms),0.1934160027303733,10.810760097228922,,
mean queue at Q1 (AES),3.0151967758723046,3.686450184286817,0.7235139444406145,0.015145099571025182
median queue at Q1 (AES),2.0,3.0,,
mean spread (ticks),1.700257475311366,1.4621717748766392,0.23808570043472654,0.08760915483253359
median spread (ticks),1.0,1.0,,
1s mid move sd (ticks),1.5017126842672703,0.8347833440041152,0.30012146219996994,0.11817012415243114
