statistic,real,simulated,wasserstein,total_variation
mean inter-arrival (ms),16.797061322286986,7.58627191443827,0.4477114544252394,0.26262668542365464
median inter-arrival (ms),0.10606400610413402,0.7811917481603814,,
mean queue at Q1 (AES),1.1552791516590317,4.545237685357101,3.404873868614189,0.2884325887465988
median queue at Q1 (AES),0.0,2.0,,
mean spread (ticks),2.3961782156879634,1.7497486642163658,0.6464295514715975,0.2620725596151159
median spread (ticks),2.0,2.0,,
1s mid move sd (ticks),2.3713009588023204,1.2334581729341114,0.5989999572631308,0.15962220607718275
