statistic,real,simulated,wasserstein,total_variation
mean inter-arrival (ms),8.862056986409529,7.864822907733297,1.4955869834710018,0.683610322368339
median inter-arrival (ms),0.07308200292754918,5.398774748755386,,
mean queue at Q1 (AES),2.4800562632435668,2.880810009158817,0.508052425859709,0.031958056805531085
median queue at Q1 (AES),1.0,2.0,,
mean spread (ticks),1.7800610759878883,1.6185539151843107,0.16150716080357758,0.0864026565063331
median spread (ticks),2.0,2.0,,
1s mid move sd (ticks),2.036916416320886,1.15343999182522,0.4427898007183445,0.13347430838413357
