session,n_events,coverage,tie_share,spectral_radius,loglik,baseline_loglik,converged,decay_add_ask,decay_cancel_ask,decay_exec_ask,decay_add_bid,decay_cancel_bid,decay_exec_bid
MSFT_2024-02-01,23013,0.05128205128205128,0.05936033373891882,0.6260232331233146,65145.39971865919,7377.911937680488,True,0.0005974074402166888,0.00017096964347799223,7.297891571454426e-05,0.0004269848189447659,0.0002347290104447582,7.342686942130425e-05
MSFT_2024-04-01,24237,0.05128205128205128,0.059869615448093744,0.6355732900715163,66161.69090507405,9507.49838737494,True,0.000726891664143101,0.0002568412421825198,4.793109037972597e-05,0.00046631501205432897,0.00022282515578851865,7.579111943190297e-05
MSFT_2024-06-03,21308,0.05128205128205128,0.09729196977519125,0.6441953588773148,61207.594855068375,6582.9503934162785,True,0.0006821634504099105,5.0402909481710926e-05,6.277002549453057e-05,0.0009415833225313013,0.0001408350728125734,3.7488072942324324e-05
MSFT_2024-10-01,15785,0.05128205128205128,0.06392549417131273,0.6217378908446531,37100.71812566729,1202.2473617878786,True,0.0016358014154133687,0.00011956328284771695,7.493499791709371e-05,0.0015510464294974029,0.00019778112710783544,5.813274072811881e-05
MSFT_2024-12-02,5377,0.047435897435897434,0.12369791666666667,0.6933444172400621,15361.93776249566,-3995.422743612011,True,0.0005317258004875721,0.00020524040241916392,2.5384970261272106e-05,0.0005676685012215395,0.011349773021951857,4.5781413794464955e-05
INTC_2024-02-01,35378,0.05128205128205128,0.1469316222404387,0.7444345655385444,165800.8215384651,34451.961279262825,True,4.0600938687353694e-05,0.0005028942041457491,2.0186731028416386e-05,5.3097016077603357e-05,0.0005847354968103926,1.9443729560239695e-05
INTC_2024-04-01,27736,0.05128205128205128,0.1644131963223364,0.7654051378637815,140545.7629117471,21023.31663419633,True,3.190955339486691e-05,0.0004537383318904034,2.0372996326102042e-05,3.18546368619329e-05,0.0004459214209956668,1.67591851665165e-05
INTC_2024-08-02,55323,0.05128205128205128,0.14399334803513972,0.7812362069635732,287575.8207417526,67277.35752758873,True,4.490657471709246e-05,0.0002739030707309857,1.5836957537406582e-05,3.4672879118574246e-05,0.0005008941351303147,9.010218274678158e-06
INTC_2024-10-01,37193,0.05128205128205128,0.14271886427188643,0.7474580516695987,177413.17402454332,37292.37359807534,True,3.2507511351734284e-05,0.000849968969183784,1.6946086255216653e-05,3.9243396848467055e-05,0.0007638761754207356,1.0000000000000004e-06
INTC_2024-12-02,38371,0.05128205128205128,0.15191555903049256,0.7907076866297736,208353.89849968738,35759.558574820956,True,3.40332381865757e-05,0.00041079935211465237,1.3401051060280208e-05,3.732295981790724e-05,0.00033658539751370075,1.3508275460756337e-05
AAPL_2024-02-01,51769,0.05128205128205128,0.07941199196414774,0.685172776868241,201979.00352497597,56615.79487601372,True,0.00027634820659639764,0.00013059498434167205,3.2650679403703544e-05,0.000308428281913573,0.00014464595169819353,3.1980735603477086e-05
AAPL_2024-04-01,41743,0.05128205128205128,0.1396435245076901,0.7579314488426071,192671.01296698517,39083.316878581405,True,9.713892559134985e-05,0.00045734407902320426,1.933559719486073e-05,5.094818218905673e-05,0.0005895293487004962,2.2162623018526592e-05
AAPL_2024-06-03,48737,0.05128205128205128,0.10573292843072883,0.7301350425222626,218943.3077493009,39950.466721471035,True,0.00012211483455061944,0.00036066125231664774,2.8284999491765118e-05,0.00011937606158634844,0.0004774670038560053,3.179560272734805e-05
AAPL_2024-08-01,57183,0.05128205128205128,0.08016508691546291,0.6839501974778018,229463.02587826346,63927.79433062122,True,0.0002540914035103551,0.00013247165034214434,3.6193277652064965e-05,0.00030912579592772525,0.00012547354185413548,3.149670962839297e-05
AAPL_2024-10-01,99617,0.05128205128205128,0.06295173466109862,0.6947788436464027,427173.9797110104,173307.46578929055,True,0.0003725539458213647,6.241280972372883e-05,3.581892617651394e-05,0.0004218180276536904,5.739607636400207e-05,3.199678975846085e-05
