statistic,real,simulated,wasserstein,total_variation
mean inter-arrival (ms),30.76942827006753,17.823780240704163,0.3996154495306923,0.2214410924118346
median inter-arrival (ms),0.045926004531793296,0.0850955748319393,,
mean queue at Q1 (AES),9.861101310290074,199.259619486067,189.44155074061064,0.8240597359536569
median queue at Q1 (AES),7.0,261.0,,
mean spread (ticks),1.1553680638024308,1.073250988684212,0.08211707511821897,0.07646236027452599
median spread (ticks),1.0,1.0,,
1s mid move sd (ticks),0.562993937017489,0.14453438129637475,0.1594948739499788,0.11547589147465216
