target,source,alpha,alpha_se,norm,decay_s,decay_se_s
add_ask,add_ask,15359.724147968844,391.88160584683453,0.4993064070996044,3.2507511351734284e-05,7.524602580376587e-07
add_ask,cancel_ask,94.81081001091695,6.534200684037871,0.08058624645245867,0.000849968969183784,4.549958471561451e-05
add_ask,exec_ask,1135.7662713170826,301.4618615265886,0.01924679319950508,1.6946086255216653e-05,7.335380945148081e-07
add_ask,add_bid,325.6131016033011,39.45493129268349,0.01277816416527857,3.9243396848467055e-05,1.2906483828744947e-06
add_ask,cancel_bid,266.3600610895489,14.436991731203216,0.2034661047499181,0.0007638761754207356,4.0192133073529176e-05
add_ask,exec_bid,81117.83074329887,9607.440613175168,0.08111783074329891,1.0000000000000004e-06,8.14730045320695e-08
cancel_ask,add_ask,3125.749285526331,124.8788803151676,0.10161033038192252,3.2507511351734284e-05,7.524602580376587e-07
cancel_ask,cancel_ask,351.09530637962933,18.735331494329223,0.29842011564875837,0.000849968969183784,4.549958471561451e-05
cancel_ask,exec_ask,2805.2097397297075,450.0303982541123,0.04753732621343348,1.6946086255216653e-05,7.335380945148081e-07
cancel_ask,add_bid,2557.9402353596383,113.95030166350539,0.10038226377087951,3.9243396848467055e-05,1.2906483828744947e-06
cancel_ask,cancel_bid,79.74288302990519,5.981974541137111,0.06091368850590705,0.0007638761754207356,4.0192133073529176e-05
cancel_ask,exec_bid,4531.9816157432115,2454.847939081892,0.004531981615743213,1.0000000000000004e-06,8.14730045320695e-08
exec_ask,add_ask,3.9769962221764077,8.506106937856144,0.00012928224983820393,3.2507511351734284e-05,7.524602580376587e-07
exec_ask,cancel_ask,6.7263634686476745,1.3957314864849875,0.005717200223801926,0.000849968969183784,4.549958471561451e-05
exec_ask,exec_ask,40913.42811327513,2188.52356710067,0.6933224818041662,1.6946086255216653e-05,7.335380945148081e-07
exec_ask,add_bid,178.30866748094869,26.56071887910372,0.006997437799476222,3.9243396848467055e-05,1.2906483828744947e-06
exec_ask,cancel_bid,13.62996965906263,2.2185449984463825,0.01041160909426543,0.0007638761754207356,4.0192133073529176e-05
exec_ask,exec_bid,50.94962988868565,192.95857897388626,5.0949629888685674e-05,1.0000000000000004e-06,8.14730045320695e-08
add_bid,add_ask,346.8500263542522,42.22431859700953,0.011275231169060188,3.2507511351734284e-05,7.524602580376587e-07
add_bid,cancel_ask,196.77341305842393,11.03055223533725,0.16725129506004352,0.000849968969183784,4.549958471561451e-05
add_bid,exec_ask,42298.38695731388,1941.035925293176,0.716792113835172,1.6946086255216653e-05,7.335380945148081e-07
add_bid,add_bid,11174.36896078967,412.6849453034178,0.43852019565946143,3.9243396848467055e-05,1.2906483828744947e-06
add_bid,cancel_bid,94.2265671208038,7.237275424637418,0.07197742971526484,0.0007638761754207356,4.0192133073529176e-05
add_bid,exec_bid,1459.0992722326985,1275.0514966769347,0.0014590992722326992,1.0000000000000004e-06,8.14730045320695e-08
cancel_bid,add_ask,2790.0163234558327,115.24826490703548,0.09069648730626444,3.2507511351734284e-05,7.524602580376587e-07
cancel_bid,cancel_ask,59.898438135869114,4.510075994295446,0.05091181371806333,0.000849968969183784,4.549958471561451e-05
cancel_bid,exec_ask,2609.3163084407975,483.1235953206184,0.04421769922998125,1.6946086255216653e-05,7.335380945148081e-07
cancel_bid,add_bid,2378.493828352765,112.47990008363031,0.09334017720767723,3.9243396848467055e-05,1.2906483828744947e-06
cancel_bid,cancel_bid,387.7865457060332,20.553511478451988,0.29622090341354296,0.0007638761754207356,4.0192133073529176e-05
cancel_bid,exec_bid,322.2211300171252,2002.2903004304083,0.00032222113001712535,1.0000000000000004e-06,8.14730045320695e-08
exec_bid,add_ask,268.34545001835585,32.58573830997568,0.008723242762657948,3.2507511351734284e-05,7.524602580376587e-07
exec_bid,cancel_ask,11.909427756657175,1.7391283592291882,0.010122644033894644,0.000849968969183784,4.549958471561451e-05
exec_bid,exec_ask,7.689002321944843,19.07475144161461,0.00013029849656423842,1.6946086255216653e-05,7.335380945148081e-07
exec_bid,add_bid,11.851711458920743,7.95466980249289,0.00046510141611595115,3.9243396848467055e-05,1.2906483828744947e-06
exec_bid,cancel_bid,6.844297223948184,1.669616277566999,0.005228195586872297,0.0007638761754207356,4.0192133073529176e-05
exec_bid,exec_bid,714322.1570250831,61373.080556786575,0.7143221570250834,1.0000000000000004e-06,8.14730045320695e-08
