queue,n,exposure,add,cancel,exec,move,lambda_move,lambda_add,lambda_add_lo,lambda_add_hi,lambda_cancel,lambda_cancel_lo,lambda_cancel_hi,lambda_exec,lambda_exec_lo,lambda_exec_hi,lambda_total
-3,0,9.929894639979466,68.0,0.0,0.0,0.0,0.0,6.8480082080851385,5.317746327339849,8.681482158828606,0.0,0.0,0.3714923055942479,0.0,0.0,0.3714923055942479,6.8480082080851385
-3,1,243.5074408200744,666.0,328.0,37.0,0.0,0.0,2.7350293599122573,2.5312284783548087,2.950871211103109,1.346981426503334,1.205137616453979,1.5009315380943806,0.15194607555068096,0.10698405962204334,0.2094376499140083,4.233956861966273
-3,2,552.341909460105,728.0,691.0,12.0,0.0,0.0,1.3180241939482642,1.2240076297852305,1.4173462242258712,1.2510367005745202,1.1594851800744166,1.3478954054191072,0.021725673526619742,0.011225972540781965,0.0379503794464305,2.590786568049404
-3,3,762.6134891160473,756.0,759.0,16.0,0.0,0.0,0.9913278623963063,0.9219129027693372,1.0645845580396016,0.9952617031201012,0.9257066581906938,1.0686583926033024,0.020980483860239287,0.011992159310271344,0.03407099135851649,2.007570049376647
-3,4,1031.6216599757026,828.0,703.0,0.0,0.0,0.0,0.8026198286874876,0.7488744497170943,0.8592036430894628,0.6814513762890142,0.6320018196626459,0.7337421531840519,0.0,0.0,0.0035758065163160866,1.4840712049765017
-3,5,1191.0543784608526,965.0,798.0,3.0,0.0,0.0,0.8102065006024555,0.7598875682826232,0.8629818331063289,0.6699945984256575,0.6243093115204051,0.7181388991434068,0.0025187766858107423,0.0005194323064368262,0.007360934335401114,1.4827198757139237
-3,6,1438.2272259670717,954.0,843.0,3.0,0.0,0.0,0.6633166044805787,0.6218874450848971,0.7067801335326466,0.586138257418373,0.547233760287384,0.6270785178600916,0.0020859012719515054,0.0004301629893562909,0.006095888682573897,1.2515407631709032
-3,7,1751.2311247188554,942.0,780.0,0.0,0.0,0.0,0.537907296588981,0.5041010400639269,0.5733844264298544,0.4454009462201753,0.4146879277487988,0.4777866239662079,0.0,0.0,0.0021064492299416805,0.9833082428091562
-3,8,1619.5878571129942,852.0,759.0,0.0,0.0,0.0,0.5260597603631936,0.49132468742236507,0.5626025236199007,0.4686377442672112,0.43588643950391665,0.5031979598248449,0.0,0.0,0.0022776655418308514,0.9946975046304048
-3,9,1661.3084419490333,763.0,641.0,0.0,0.0,0.0,0.4592765441586842,0.4272621827939813,0.49305433338580673,0.3858404519078854,0.35654517667641333,0.41690107699136353,0.0,0.0,0.002220466327003174,0.8451169960665695
-3,10,1768.439449133024,724.0,583.0,0.0,0.0,0.0,0.4094005029999418,0.3801183077648657,0.4403398261509007,0.3296691895703951,0.30344836248759444,0.35754947280965793,0.0,0.0,0.0020859518011331437,0.739069692570337
-3,11,1771.9751253711147,614.0,513.0,0.0,0.0,0.0,0.3465059927810254,0.319636533264549,0.3750310187163347,0.28950744999457007,0.26499378685649844,0.3156787515462958,0.0,0.0,0.002081789637617714,0.6360134427755955
