queue,n,cls,exposure,add,cancel,exec,move,lambda_add,lambda_cancel,lambda_exec,lambda_move
-1,0,0,32.36709734800388,945.0,0.0,11.0,350.0,29.196315932799557,0.0,0.33985129657227,10.813450345481318
-1,0,1,69.14108884413145,1962.0,0.0,38.0,988.0,28.376758781208153,0.0,0.5496008326635626,14.289621649252627
-1,0,2,99.49413971120521,4460.0,0.0,207.0,2489.0,44.82676078154688,0.0,2.080524547484351,25.016548785935022
-1,0,3,81.92486107430886,4552.0,0.0,251.0,2645.0,55.5631091747738,0.0,3.0637830410518947,32.28568184694128
-1,1,0,26.07169594572042,1773.0,702.0,215.0,11.0,68.00478203225717,26.925751261502835,8.246490770973091,0.42191348130559997
-1,1,1,194.31807788585138,4974.0,3156.0,2996.0,82.0,25.59720667328691,16.241412195595792,15.41801994233365,0.4219885297968489
-1,1,2,630.4739801509713,9149.0,4925.0,7269.0,22.0,14.5113046502081,7.811583277109508,11.52942108452975,0.034894382151555166
-1,1,3,564.291334468915,4961.0,1900.0,8208.0,8.0,8.79155800729966,3.3670550723381076,14.545677912500626,0.014177073988792033
-1,2,0,13.111203047883464,1363.0,571.0,77.0,0.0,103.95689815970232,43.550542075708016,5.87284017483278,0.0
-1,2,1,140.1775972459145,2904.0,2183.0,875.0,7.0,20.716577092596992,15.57310185714161,6.242081596426436,0.04993665277141149
-1,2,2,546.1915901278917,6157.0,4256.0,2600.0,3.0,11.27260124704287,7.7921375519594696,4.760234406742157,0.005492578161625566
-1,2,3,559.7424270918564,3038.0,1740.0,3145.0,0.0,5.427496385764322,3.108572650174431,5.618655738389991,0.0
-1,3,0,14.875446801204816,1623.0,712.0,62.0,0.0,109.10596647547739,47.864108521589586,4.167942034183363,0.0
-1,3,1,162.1442901560149,3058.0,2458.0,592.0,1.0,18.859745212474635,15.159337387921076,3.6510690535595107,0.00616734637425593
-1,3,2,547.3815150790397,6485.0,4877.0,1910.0,1.0,11.847312745048749,8.909690710501579,3.4893396057121215,0.0018268793747183883
-1,3,3,552.94450534715,3048.0,2079.0,2226.0,0.0,5.512307239740817,3.7598709814373885,4.025720444771345,0.0
-1,4,0,11.643364099116297,1799.0,837.0,34.0,0.0,154.5086097699667,71.88644045439807,2.9201182502383927,0.0
-1,4,1,171.9403241839318,2999.0,2564.0,411.0,1.0,17.4420980897526,14.912150550892187,2.3903642263715636,0.005815971353702101
-1,4,2,640.6620040046546,6975.0,5373.0,1415.0,0.0,10.887176009191462,8.386637519338455,2.2086529108252213,0.0
-1,4,3,600.0088584522673,3061.0,2325.0,1891.0,0.0,5.101591346327619,3.874942790007094,3.1516201358724363,0.0
-1,5,0,10.042390990791318,1794.0,829.0,29.0,0.0,178.6427158278406,82.55006210773682,2.887758505578248,0.0
-1,5,1,183.9018726481081,3104.0,2592.0,312.0,0.0,16.8785665708768,14.094473115886812,1.6965569491345236,0.0
-1,5,2,735.0688250647581,7495.0,5843.0,1172.0,0.0,10.196324132423525,7.948915531120835,1.5944085234423444,0.0
-1,5,3,636.530216538762,3424.0,2648.0,1423.0,0.0,5.3791633311904095,4.160053884635574,2.2355576577932106,0.0
-1,6,0,7.750981855955615,1971.0,840.0,17.0,0.0,254.29036432146265,108.37336683410888,2.1932705192617274,0.0
-1,6,1,177.11721688929538,3069.0,2703.0,313.0,0.0,17.327508041853633,15.261079907830034,1.7671912730857569,0.0
-1,6,2,780.0175701353728,6864.0,5887.0,867.0,0.0,8.79980177729682,7.5472658891238895,1.1115134237931734,0.0
-1,6,3,637.9950507147296,3514.0,2887.0,1211.0,0.0,5.507879717974858,4.525113473475645,1.8981338470311762,0.0
-1,7,0,4.764836847039987,2006.0,939.0,11.0,0.0,421.00077387668955,197.06865736301668,2.308578520759514,0.0
-1,7,1,172.70913369501795,2837.0,2494.0,214.0,0.0,16.4264618743892,14.440463840227942,1.2390774907011948,0.0
-1,7,2,721.7370177168486,6278.0,5624.0,684.0,0.0,8.698459197589585,7.792311966747982,0.9477136175774573,0.0
-1,7,3,581.9995181508857,3238.0,2774.0,1017.0,0.0,5.563578489356301,4.76632697018974,1.7474241271387765,0.0
-1,8,0,10.670461661247828,2095.0,940.0,14.0,0.0,196.33639729089342,88.0936579730023,1.3120332038532256,0.0
-1,8,1,155.0424444980963,2792.0,2538.0,156.0,1.0,18.007972004300292,16.369710940871826,1.0061760862001596,0.00644984670641128
-1,8,2,691.9876769471375,5606.0,5134.0,569.0,0.0,8.101300336347254,7.419207264860293,0.8222689781272899,0.0
-1,8,3,554.4075236660356,3032.0,2708.0,776.0,0.0,5.468901251467177,4.884493597946277,1.3996924047290662,0.0
-1,9,0,7.113092386978678,2215.0,964.0,6.0,0.0,311.3976143561425,135.52474051436633,0.8435149824545622,0.0
