statistic,l1,wasserstein
spread,0.2995055555555555,0.5270591644126909
orderbook_imbalance,0.13498307532188675,
ask_volume_touch,4.9999999999997244e-05,0.2522543843107849
bid_volume_touch,5.5555555555737535e-06,0.29887570437163363
ask_volume_3,0.6094777777777779,0.19158439320346685
bid_volume_3,0.6123000000000001,0.2673605288245021
limit_ask_order_depth,0.7233460178561522,0.5540129337483208
limit_bid_order_depth,0.619441078336682,0.22276793527343
log_inter_arrival_time,0.6178837390241192,0.9173501859822566
