statistic,l1,wasserstein
spread,0.27070000000000005,0.2012778777751334
orderbook_imbalance,0.49875935527821097,
ask_volume_touch,0.3881888888888889,0.8563789795332706
bid_volume_touch,0.46491111111111105,0.9356659399630651
ask_volume_3,0.6991999999999999,1.4203641921409655
bid_volume_3,0.6722333333333333,1.168904637837015
limit_ask_order_depth,0.09359883147586995,0.19996790799759512
limit_bid_order_depth,0.22750526008174443,0.11508681248594486
log_inter_arrival_time,0.6351117039013002,0.9734447233969389
