statistic,l1,wasserstein
spread,0.0,0.0
orderbook_imbalance,0.0,0.0
ask_volume_touch,0.0,0.0
bid_volume_touch,0.0,0.0
ask_volume_10,0.0,0.0
bid_volume_10,0.0,0.0
limit_ask_order_depth,0.0,0.0
limit_bid_order_depth,0.0,0.0
ask_cancellation_depth,0.0,0.0
bid_cancellation_depth,0.0,0.0
log_inter_arrival_time,0.0,0.0
log_time_to_cancel,0.0,0.0
